ID,Reported Year,Total Dead and Missing,Lat,Long
329,2018,1,27.22454491,-98.30209987
330,2018,1,6.614935,101.337994
331,2018,1,-15.137787,39.230025
332,2018,2,12.40008995,-69.84954833
333,2018,1,32.057499,-111.6660725
334,2018,1,-16.083382,33.637539
335,2018,1,-13.86155,33.782244
336,2018,2,12.054854,-8.998136
337,2018,1,32.62150759,-114.8101311
338,2018,1,31.9676831,-113.0133083
339,2018,1,31.9698537,-111.4275888
340,2018,1,32.0577019,-112.1430215
341,2018,1,35.75688355,-0.755644093
342,2018,1,35.84634039,-5.913605179
343,2018,2,20.61410485,-100.8229615
344,2018,2,18.07428,34.434549
345,2018,2,19.635357,27.103538
346,2018,2,4.366667,-7.716667
347,2018,1,4.366667,-7.716667
348,2018,1,13.805278,8.988333
349,2018,1,27.50001691,-99.50184041
350,2018,22,38.27705488,27.18258423
351,2018,1,35.97365662,-0.352090264
352,2018,1,-22.224039,29.996078
353,2018,2,7.236226,-5.038495
354,2018,2,8.621028,-5.048118
355,2018,1,16.775833,-3.009444
356,2018,1,5.261657,13.578635
357,2018,11,40.94603547,24.43226374
358,2018,1,27.49996171,-99.50344209
359,2018,3,27.0273057,-98.2212979
360,2018,1,4.884933,38.116099
361,2018,1,6.770377,47.41765
362,2018,20,36.12548285,-3.06317992
363,2018,2,35.8245653,-0.803768973
364,2018,4,35.96866341,-0.02072771
365,2018,1,-15.137787,39.230025
366,2018,2,35.87082649,-5.84768721
367,2018,1,35.81287288,-0.806515555
368,2018,1,35.81810516,-0.1682271
369,2018,1,26.86714711,-99.31296755
370,2018,6,7.752677115,-72.47291562
371,2018,6,6.666557,100.304106
372,2018,6,4.916402,8.740138
373,2018,3,41.33991661,26.51932647
374,2018,1,27.36357889,-99.50347328
375,2018,2,35.81732734,-0.801022391
376,2018,2,13.511667,2.125278
377,2018,1,14.495833,-4.198611
378,2018,1,16.967643,7.985137
379,2018,1,26.1871099,-98.2259109
